label	arm	run	source_dir
artifact-01	A2	r2	/mnt/movies/dev/marketing/tmp/study-arms/a2-r2
artifact-02	A0	r1	/mnt/movies/dev/marketing/tmp/study-arms/a0
artifact-03	A3	r3	/mnt/movies/dev/marketing/tmp/study-arms/a3-r3
artifact-04	A1	r2	/mnt/movies/dev/marketing/tmp/study-arms/a1-r2
artifact-05	A2	r1	/mnt/movies/dev/marketing/tmp/study-arms/a2
artifact-06	A3	r1	/mnt/movies/dev/marketing/tmp/study-arms/a3
artifact-07	A1	r3	/mnt/movies/dev/marketing/tmp/study-arms/a1-r3
artifact-08	A0	r3	/mnt/movies/dev/marketing/tmp/study-arms/a0-r3
artifact-09	A2	r3	/mnt/movies/dev/marketing/tmp/study-arms/a2-r3
artifact-10	A1	r1	/mnt/movies/dev/marketing/tmp/study-arms/a1
artifact-11	A3	r2	/mnt/movies/dev/marketing/tmp/study-arms/a3-r2
